(matt male (will dorris) (helen jake henry))
(henry male (matt harriet) ())
(becky female (will dorris) ())
(sam male (will dorris) (nate susan))
(harriet female (frank jane) (helen jake evan))
(evan male (brandon harriet) ())
(helen female (harriet matt) (gwen))
(jake male (harriet matt) ())
(gwen female (helen) ())
(jolene female (steve joyce) (nate susan))
(nate male (sam jolene) (mike))
(lauren female (larry sarah) (mike))
(mike male (lauren nate) (glen aaron))
(glen male (mike mary) ())
(aaron male (mike mary) ())
(susan female (sam jolene) (felicia))
(lester male (jonathan nancy) (felicia))
(felicia female (susan lester) (hannah paul))
(hannah female (felicia jackson) ())
(paul male (felicia jackson bob) ())
(bob male (sierra isaac) (paul))
(jackson male (claire zach) (hannah))
(will male (theo randi) (matt becky sam))
(dorris female (al therese) (matt becky sam))
